Date,Open,High,Low,Close,Volume
4-Apr-17,6.41,6.62,6.32,6.59,15959567
3-Apr-17,6.65,6.68,6.34,6.42,18172851
31-Mar-17,6.52,6.72,6.51,6.65,16025298
30-Mar-17,6.71,6.75,6.55,6.60,10632260
29-Mar-17,6.49,6.70,6.46,6.63,15838926
28-Mar-17,6.40,6.61,6.38,6.50,19738802
27-Mar-17,6.33,6.51,6.25,6.36,36798144
24-Mar-17,5.91,6.25,5.86,5.89,19001549
23-Mar-17,6.04,6.06,5.83,5.87,16810666
22-Mar-17,5.97,6.09,5.92,6.03,16394513
21-Mar-17,6.21,6.28,5.95,6.11,17031961
20-Mar-17,6.07,6.27,5.97,6.18,13937807
17-Mar-17,6.33,6.38,6.14,6.15,15026835
16-Mar-17,6.30,6.42,6.18,6.33,16601164
15-Mar-17,6.08,6.30,5.99,6.28,27424279
14-Mar-17,6.16,6.16,5.82,5.98,40288207
13-Mar-17,6.50,6.56,6.21,6.32,21128216
10-Mar-17,6.43,6.56,6.32,6.51,25051446
9-Mar-17,6.38,6.61,6.12,6.35,30505264
8-Mar-17,6.59,6.78,6.36,6.44,40483486
7-Mar-17,6.92,7.09,6.53,6.63,107229602
6-Mar-17,5.74,5.91,5.69,5.89,16301019
3-Mar-17,5.77,5.92,5.76,5.78,11802999
2-Mar-17,5.75,6.00,5.72,5.75,15082754
1-Mar-17,5.74,5.94,5.65,5.84,18443569
28-Feb-17,5.71,5.71,5.58,5.66,11939554
27-Feb-17,5.56,5.85,5.54,5.77,14179983
24-Feb-17,5.70,5.72,5.50,5.57,12509931
23-Feb-17,5.85,5.91,5.67,5.75,13266337
22-Feb-17,5.74,5.88,5.68,5.72,14151554
21-Feb-17,5.80,5.92,5.78,5.82,20565305
17-Feb-17,5.90,5.91,5.67,5.70,20014158
16-Feb-17,6.16,6.21,5.90,5.96,14751417
15-Feb-17,6.16,6.19,6.04,6.15,11652615
14-Feb-17,6.11,6.18,6.01,6.15,14086364
13-Feb-17,6.00,6.16,6.00,6.08,16614501
10-Feb-17,6.08,6.15,6.03,6.06,22032857
9-Feb-17,5.86,6.04,5.84,5.96,20491261
8-Feb-17,5.79,5.90,5.59,5.82,22652266
7-Feb-17,6.00,6.11,5.77,5.85,26495250
6-Feb-17,6.15,6.25,5.95,6.00,40300705
